match_id,home_team,away_team,home_xg_for_last_10,home_xg_against_last_10,away_xg_for_last_10,away_xg_against_last_10,home_shot_npxg_for_last_10,away_shot_npxg_for_last_10,home_shot_big_chances_for_last_10,away_shot_big_chances_for_last_10,home_ppda_for_last_10,away_ppda_for_last_10,home_finishing_over_xg_last_10,away_finishing_over_xg_last_10,home_attack_vs_away_defense_xg_last_10,away_attack_vs_home_defense_xg_last_10,xg_net_diff_last_10,shot_npxg_diff_last_10,big_chances_diff_last_10,pressing_diff_last_10,finishing_diff_last_10,h_goals,a_goals
28842,Chelsea,Liverpool,1.9422866666666667,1.4151559999999999,2.1810796666666667,1.8882303333333332,1.6914464865500722,1.9327417379245155,2.0,2.6666666666666665,7.9053,6.7619,-0.9422866666666666,-0.5144129999999999,0.054056333333333484,0.7659236666666669,0.23428133333333345,-0.2412952513744433,-0.6666666666666665,-1.1434000000000006,-0.4278736666666667,2,1
28843,Everton,Crystal Palace,1.534521,1.0716543333333333,1.9889733333333333,1.013385,1.540389160625636,1.754234547571589,1.3333333333333333,2.6666666666666665,12.514899999999999,20.2166,-0.5345210000000001,-0.3223066666666666,0.521136,0.917319,-0.5127216666666664,-0.21384538694595312,-1.3333333333333333,7.701700000000001,-0.21221433333333356,2,1
28844,Leeds,Tottenham,1.7019266666666668,0.6794343333333334,1.32866,1.1484693333333333,1.460879103901485,1.3505569975823157,1.3333333333333333,1.3333333333333333,13.542666666666667,9.657866666666667,-0.7019266666666667,1.0046733333333335,0.5534573333333335,0.6492256666666666,0.8423016666666667,0.11032210631916928,0.0,-3.8848000000000003,-1.7066000000000003,1,2
28845,Manchester United,Sunderland,2.2478266666666666,1.042141,1.1389796666666667,1.3940533333333331,1.9986350461840623,1.1399413055429852,1.6666666666666667,1.6666666666666667,12.016033333333333,22.620366666666666,-0.5811599999999999,-0.8056463333333334,0.8537733333333335,0.09683866666666674,1.460759333333333,0.8586937406410771,0.0,10.604333333333333,0.22448633333333345,2,0
28846,Newcastle United,Nottingham Forest,1.2983770000000001,1.0309936666666666,0.81811,1.7083899999999999,1.298775436667104,0.8183116208141045,2.0,0.6666666666666666,13.0249,11.337866666666665,0.03495633333333337,-0.1514433333333334,-0.41001299999999974,-0.21288366666666658,1.1576633333333333,0.4804638158529996,1.3333333333333335,-1.6870333333333356,0.18639966666666677,2,0
28847,Wolverhampton Wanderers,Brighton,1.0095976666666668,1.597976,1.7282976666666665,1.75652,1.010487419708321,1.4803878503541146,1.0,2.3333333333333335,9.638433333333333,8.850766666666667,-0.00959766666666669,-0.39496433333333325,-0.7469223333333332,0.13032166666666645,-0.5601559999999999,-0.4699004306457937,-1.3333333333333335,-0.7876666666666665,0.3853666666666666,1,1
28848,Brighton,Newcastle United,1.6844599999999998,1.4096243333333334,0.6194146666666666,0.5155203333333334,1.1770151443779464,0.6194149803680674,2.0,0.6666666666666666,10.741133333333332,11.244399999999999,-0.017793333333333328,-0.6194146666666666,1.1689396666666665,-0.7902096666666668,0.17094133333333328,0.557600164009879,1.3333333333333335,0.5032666666666668,0.6016213333333332,2,1
28849,Burnley,Leeds,0.771147,1.582323,0.48138233333333336,1.8145,0.7713965068881707,0.4813820046062269,0.6666666666666666,0.3333333333333333,15.136133333333333,18.1672,0.22885299999999995,0.5186176666666666,-1.043353,-1.1009406666666666,0.5219416666666669,0.29001450228194386,0.3333333333333333,3.0310666666666677,-0.28976466666666667,2,0
28850,Crystal Palace,Bournemouth,2.1310533333333335,1.5952530000000003,1.5844866666666668,1.5160066666666667,2.14946788859864,1.58564370094488,3.3333333333333335,2.3333333333333335,16.9044,9.0432,-1.1310533333333332,0.08218000000000007,0.6150466666666667,-0.010766333333333433,0.46732033333333345,0.56382418765376,1.0,-7.861199999999998,-1.2132333333333334,3,3
28851,Fulham,Arsenal,1.4391433333333332,1.0676613333333334,1.2955196666666666,0.8659283333333333,1.446578940066198,1.298327612690627,2.0,1.0,13.077866666666667,10.460166666666666,0.2275233333333333,-0.2955196666666666,0.5732149999999999,0.22785833333333327,-0.058109333333333235,0.148251327375571,1.0,-2.617700000000001,0.5230429999999999,0,1
